"OrderNumber","SalesChannelTxt","SalesChannel","WarehouseCode","Warehouse","ProcuredDate","OrderDate","StockTime","ShipDate","ProcessingTime","DeliveryDate","ShippingTime","CurrencyCode","SalesTeamID","CustomerID","StoreID","ProductID","Order Quantity","Discount Applied","Unit Cost","Unit Price"
"SO - 0001701","Online",2,"WARE-PUJ1005",5,"19/07/18",08/12/18,142,"23/12/18",15,"31/12/18",8,"USD",15,24,322,31,6,0.2,891.17,"1,896.10"
"SO - 0004968","Wholesale",4,"WARE-UHY1004",4,"23/08/19",01/01/20,131,"24/01/20",23,"30/01/20",6,"USD",26,31,231,46,2,0.1,749.66,"1,118.90"
"SO - 0006514","Online",2,"WARE-XYS1001",1,10/03/20,"30/06/20",112,10/07/20,10,"15/07/20",5,"USD",18,36,2,18,6,0.1,698.94,"1,092.10"
"SO - 0007032","Online",2,"WARE-PUJ1005",5,"18/06/20","30/08/20",73,10/09/20,11,"13/09/20",3,"USD",13,4,328,17,3,0.3,910.06,"1,936.30"
"SO - 000219","In-Store",1,"WARE-XYS1001",1,"31/12/17","14/06/18",165,"30/06/18",16,07/07/18,7,"USD",8,11,7,22,6,0.05,"1,211.43","1,922.90"
"SO - 0001385","In-Store",1,"WARE-PUJ1005",5,"19/07/18",01/11/18,105,"16/11/18",15,"26/11/18",10,"USD",5,44,322,27,1,0.05,"2,538.97","3,906.10"
"SO - 0001852","Online",2,"WARE-NBV1002",2,"27/10/18","24/12/18",58,07/01/19,14,12/01/19,5,"USD",17,23,65,42,6,0.08,365.35,891.1
"SO - 0004836","In-Store",1,"WARE-UHY1004",4,"23/08/19","16/12/19",115,"26/12/19",10,02/01/20,7,"USD",9,18,251,28,3,0.08,"2,658.56","3,323.20"
"SO - 000140","In-Store",1,"WARE-NMK1003",3,"31/12/17",03/06/18,154,"18/06/18",15,"28/06/18",10,"USD",9,26,196,25,4,0.05,670,"1,675.00"
"SO - 0003924","Distributor",3,"WARE-PUJ1005",5,"15/05/19","24/08/19",101,10/09/19,17,"19/09/19",9,"USD",24,9,262,46,8,0.05,567.96,"1,159.10"
"SO - 0004748","Distributor",3,"WARE-NMK1003",3,"23/08/19",04/12/19,103,"16/12/19",12,"22/12/19",6,"USD",23,35,179,36,2,0.05,820.42,"1,038.50"
"SO - 000629","In-Store",1,"WARE-UHY1004",4,10/04/18,01/08/18,113,08/08/18,7,"18/08/18",10,"USD",3,21,222,11,6,0.08,"1,410.02","2,311.50"
"SO - 0002199","Distributor",3,"WARE-UHY1004",4,"27/10/18","28/01/19",93,10/02/19,13,12/02/19,2,"USD",24,41,239,36,1,0.08,"1,435.94","2,519.20"
"SO - 000175","In-Store",1,"WARE-NMK1003",3,10/04/18,09/06/18,60,"28/06/18",19,03/07/18,5,"USD",1,1,107,1,1,0.08,78.79,187.6
"SO - 0002111","Online",2,"WARE-UHY1004",4,"19/07/18","18/01/19",183,"30/01/19",12,"31/01/19",1,"USD",18,48,254,15,6,0.1,"1,432.73","1,989.90"
"SO - 0006255","Distributor",3,"WARE-NMK1003",3,01/12/19,"30/05/20",181,"19/06/20",20,"24/06/20",5,"USD",22,26,121,32,7,0.05,"3,091.11","3,912.80"
"SO - 0003509","In-Store",1,"WARE-MKL1006",6,04/02/19,05/07/19,151,02/08/19,28,08/08/19,6,"USD",7,45,339,30,2,0.1,"4,215.64","6,485.60"
"SO - 0001702","In-Store",1,"WARE-NMK1003",3,"19/07/18",08/12/18,142,"24/12/18",16,"27/12/18",3,"USD",2,23,164,17,6,0.2,"4,557.07","5,842.40"
"SO - 0004352","Online",2,"WARE-PUJ1005",5,"23/08/19","18/10/19",56,"14/11/19",27,"23/11/19",9,"USD",15,33,299,23,2,0.3,"4,343.88","5,641.40"
"SO - 0001849","Distributor",3,"WARE-XYS1001",1,"19/07/18","23/12/18",157,"17/01/19",25,"21/01/19",4,"USD",24,13,56,25,8,0.05,124.62,201
"SO - 0002799","Distributor",3,"WARE-PUJ1005",5,"27/10/18","14/04/19",169,"23/04/19",9,"29/04/19",6,"USD",22,37,270,42,1,0.2,"1,578.52","3,946.30"
"SO - 0002908","Online",2,"WARE-PUJ1005",5,04/02/19,"26/04/19",81,"30/04/19",4,06/05/19,6,"USD",18,20,266,32,8,0.08,"2,051.47","3,061.90"
"SO - 0003230","Distributor",3,"WARE-XYS1001",1,04/02/19,01/06/19,117,"27/06/19",26,01/07/19,4,"USD",22,27,34,33,2,0.15,"2,087.99","3,939.60"
"SO - 0005991","In-Store",1,"WARE-NMK1003",3,01/12/19,"28/04/20",149,"16/05/20",18,"19/05/20",3,"USD",6,18,120,21,6,0.05,73.7,167.5
"SO - 0001979","In-Store",1,"WARE-UHY1004",4,"19/07/18",04/01/19,169,"22/01/19",18,"29/01/19",7,"USD",6,7,212,33,8,0.08,538.01,978.2
"SO - 0007605","Distributor",3,"WARE-PUJ1005",5,"18/06/20",02/11/20,137,"29/11/20",27,09/12/20,10,"USD",21,16,308,12,8,0.15,127.3,254.6
"SO - 0006475","In-Store",1,"WARE-PUJ1005",5,10/03/20,"25/06/20",107,"18/07/20",23,"23/07/20",5,"USD",7,45,293,22,1,0.4,"2,672.36","3,611.30"
"SO - 0002656","In-Store",1,"WARE-PUJ1005",5,"27/10/18","29/03/19",153,03/04/19,5,"13/04/19",10,"USD",11,25,323,26,4,0.1,209.04,261.3
"SO - 0003180","In-Store",1,"WARE-PUJ1005",5,04/02/19,"27/05/19",112,11/06/19,15,"20/06/19",9,"USD",8,5,294,2,5,0.2,862.89,"1,065.30"
"SO - 0004240","Online",2,"WARE-NMK1003",3,"23/08/19",03/10/19,41,"25/10/19",22,03/11/19,9,"USD",14,18,132,13,4,0.4,"2,575.88","5,480.60"
"SO - 000926","Online",2,"WARE-UHY1004",4,10/04/18,04/09/18,147,01/10/18,27,03/10/18,2,"USD",13,4,239,35,8,0.2,"2,033.12","3,986.50"
"SO - 0001073","Online",2,"WARE-NMK1003",3,"19/07/18","22/09/18",65,06/10/18,14,07/10/18,1,"USD",15,50,93,28,2,0.08,"4,248.54","6,157.30"
"SO - 0002022","In-Store",1,"WARE-PUJ1005",5,"27/10/18",08/01/19,73,12/01/19,4,"13/01/19",1,"USD",11,43,310,7,1,0.1,"2,869.48","3,457.20"
"SO - 0004170","Online",2,"WARE-NMK1003",3,"15/05/19","25/09/19",133,"14/10/19",19,"17/10/19",3,"USD",12,3,175,37,7,0.1,"3,082.27","5,815.60"
"SO - 0003089","Distributor",3,"WARE-NBV1002",2,04/02/19,"16/05/19",101,"19/05/19",3,"29/05/19",10,"USD",24,29,65,8,5,0.08,"1,346.70","2,244.50"
"SO - 0005318","In-Store",1,"WARE-XYS1001",1,"23/08/19",10/02/20,171,"18/02/20",8,"20/02/20",2,"USD",8,9,19,2,5,0.05,720.79,"1,092.10"
"SO - 0005646","In-Store",1,"WARE-UHY1004",4,01/12/19,"19/03/20",109,12/04/20,24,"19/04/20",7,"USD",12,46,250,5,7,0.2,"1,999.95","2,666.60"
"SO - 0001122","In-Store",1,"WARE-MKL1006",6,"19/07/18","27/09/18",70,"21/10/18",24,"29/10/18",8,"USD",6,6,332,16,2,0.08,"1,873.66","3,986.50"
"SO - 0004834","In-Store",1,"WARE-NMK1003",3,"23/08/19","16/12/19",115,02/01/20,17,10/01/20,8,"USD",8,50,190,30,5,0.08,"1,529.28","1,842.50"
"SO - 0004207","In-Store",1,"WARE-MKL1006",6,"15/05/19","29/09/19",137,01/10/19,2,03/10/19,2,"USD",4,8,331,18,4,0.1,"4,271.65","5,085.30"
"SO - 0002206","In-Store",1,"WARE-NBV1002",2,"27/10/18","28/01/19",93,01/02/19,4,10/02/19,9,"USD",12,25,73,41,3,0.1,"1,264.42","2,257.90"
"SO - 0003981","Online",2,"WARE-NMK1003",3,"15/05/19","31/08/19",108,"17/09/19",17,"27/09/19",10,"USD",16,11,132,31,1,0.08,"2,490.39","3,953.00"
"SO - 0004345","In-Store",1,"WARE-PUJ1005",5,"23/08/19","18/10/19",56,03/11/19,16,09/11/19,6,"USD",4,24,323,34,2,0.05,743.5,917.9
"SO - 0003086","In-Store",1,"WARE-UHY1004",4,04/02/19,"16/05/19",101,"26/05/19",10,"31/05/19",5,"USD",7,13,228,2,6,0.15,376.27,723.6
"SO - 0003192","Wholesale",4,"WARE-PUJ1005",5,04/02/19,"28/05/19",113,05/06/19,8,06/06/19,1,"USD",28,3,311,10,5,0.1,"1,431.12","3,577.80"
"SO - 0004682","In-Store",1,"WARE-PUJ1005",5,"23/08/19","27/11/19",96,"14/12/19",17,"24/12/19",10,"USD",11,20,320,16,4,0.15,"1,393.60","1,742.00"
"SO - 0005827","Online",2,"WARE-XYS1001",1,01/12/19,09/04/20,130,04/05/20,25,08/05/20,4,"USD",17,37,56,11,6,0.15,99.16,247.9
"SO - 0005912","Distributor",3,"WARE-PUJ1005",5,01/12/19,"20/04/20",141,"17/05/20",27,"23/05/20",6,"USD",22,15,298,24,7,0.1,"1,162.99","1,762.10"
"SO - 0006496","Distributor",3,"WARE-UHY1004",4,10/03/20,"27/06/20",109,"23/07/20",26,"24/07/20",1,"USD",22,40,208,16,6,0.05,624.71,991.6
"SO - 0007824","Wholesale",4,"WARE-XYS1001",1,"18/06/20","28/11/20",163,"22/12/20",24,"30/12/20",8,"USD",25,48,24,16,8,0.15,713.75,"1,065.30"
"SO - 000662","In-Store",1,"WARE-PUJ1005",5,10/04/18,04/08/18,116,"31/08/18",27,06/09/18,6,"USD",7,4,297,38,7,0.08,772.11,"1,152.40"
"SO - 0006912","Online",2,"WARE-XYS1001",1,"18/06/20","15/08/20",58,"23/08/20",8,"31/08/20",8,"USD",12,1,21,18,2,0.15,"2,448.18","2,914.50"
"SO - 0005123","Online",2,"WARE-MKL1006",6,"23/08/19","16/01/20",146,06/02/20,21,07/02/20,1,"USD",14,41,358,12,6,0.08,"2,619.70","5,239.40"
"SO - 0001067","Online",2,"WARE-XYS1001",1,"19/07/18","21/09/18",64,"25/09/18",4,03/10/18,8,"USD",18,3,58,11,7,0.4,968.15,"1,139.00"
"SO - 0001433","In-Store",1,"WARE-NMK1003",3,"19/07/18",07/11/18,111,"27/11/18",20,01/12/18,4,"USD",1,9,120,40,4,0.4,"1,688.40","2,010.00"
"SO - 0006723","In-Store",1,"WARE-UHY1004",4,10/03/20,"22/07/20",134,09/08/20,18,"14/08/20",5,"USD",4,13,230,25,6,0.05,734.45,"1,165.80"
"SO - 0001538","Wholesale",4,"WARE-NMK1003",3,"19/07/18","18/11/18",122,"27/11/18",9,"29/11/18",2,"USD",26,9,111,10,7,0.05,"3,009.37","3,959.70"
"SO - 0005540","In-Store",1,"WARE-NMK1003",3,01/12/19,05/03/20,95,"30/03/20",25,05/04/20,6,"USD",12,19,122,5,3,0.15,"2,001.69","2,599.60"
"SO - 000457","Wholesale",4,"WARE-PUJ1005",5,10/04/18,12/07/18,93,"31/07/18",19,04/08/18,4,"USD",27,11,273,7,7,0.2,"1,254.24","2,787.20"
"SO - 0004078","Wholesale",4,"WARE-UHY1004",4,"15/05/19","14/09/19",122,12/10/19,28,"18/10/19",6,"USD",25,40,240,3,1,0.15,563.81,"1,025.10"
"SO - 0004885","Wholesale",4,"WARE-MKL1006",6,"23/08/19","22/12/19",121,"25/12/19",3,"28/12/19",3,"USD",28,8,352,31,8,0.05,"2,900.43","3,919.50"
"SO - 0007793","In-Store",1,"WARE-XYS1001",1,"26/09/20","24/11/20",59,"14/12/20",20,"21/12/20",7,"USD",9,27,48,16,6,0.08,"1,597.28","3,993.20"
"SO - 0007783","In-Store",1,"WARE-NBV1002",2,"26/09/20","23/11/20",58,09/12/20,16,"15/12/20",6,"USD",9,41,65,22,6,0.1,"4,251.08","6,344.90"
"SO - 000769","Wholesale",4,"WARE-PUJ1005",5,10/04/18,"16/08/18",128,08/09/18,23,11/09/18,3,"USD",25,36,282,25,6,0.15,898.87,"1,152.40"
"SO - 0007412","Online",2,"WARE-UHY1004",4,"18/06/20","13/10/20",117,"15/10/20",2,"23/10/20",8,"USD",13,30,234,35,8,0.05,"2,675.44","3,993.20"
"SO - 0003025","Wholesale",4,"WARE-XYS1001",1,04/02/19,09/05/19,94,12/05/19,3,"13/05/19",1,"USD",25,31,53,33,3,0.05,182.24,268
"SO - 000237","Online",2,"WARE-MKL1006",6,10/04/18,"16/06/18",67,"27/06/18",11,01/07/18,4,"USD",20,50,341,25,5,0.4,"3,610.56","5,232.70"
"SO - 0007658","Online",2,"WARE-NBV1002",2,"18/06/20",09/11/20,144,"27/11/20",18,05/12/20,8,"USD",19,23,75,19,4,0.05,"1,430.05","2,465.60"
"SO - 000551","Distributor",3,"WARE-MKL1006",6,10/04/18,"22/07/18",103,"13/08/18",22,"18/08/18",5,"USD",22,40,354,12,8,0.15,437.91,"1,018.40"
"SO - 0006002","In-Store",1,"WARE-NMK1003",3,10/03/20,"30/04/20",51,"25/05/20",25,"27/05/20",2,"USD",9,44,201,29,4,0.05,"2,168.79","2,613.00"
"SO - 000215","In-Store",1,"WARE-NMK1003",3,"31/12/17","14/06/18",165,"19/06/18",5,"20/06/18",1,"USD",2,13,169,40,2,0.05,685.41,"1,038.50"
"SO - 000754","Online",2,"WARE-XYS1001",1,10/04/18,"14/08/18",126,"22/08/18",8,01/09/18,10,"USD",14,38,12,26,6,0.08,"1,043.19","2,318.20"
"SO - 0006146","Online",2,"WARE-MKL1006",6,10/03/20,"18/05/20",69,01/06/20,14,05/06/20,4,"USD",20,46,352,30,2,0.08,865.77,"1,219.40"
"SO - 0006185","Online",2,"WARE-NMK1003",3,10/03/20,"23/05/20",74,"15/06/20",23,"23/06/20",8,"USD",12,23,180,29,2,0.05,"2,334.82","5,306.40"
"SO - 0003142","In-Store",1,"WARE-MKL1006",6,04/02/19,"23/05/19",108,01/06/19,9,05/06/19,4,"USD",2,43,346,34,8,0.08,"1,462.61","2,479.00"
"SO - 0006769","Distributor",3,"WARE-XYS1001",1,10/03/20,"28/07/20",140,01/08/20,4,03/08/20,2,"USD",22,13,31,43,7,0.05,186.8,227.8
"SO - 0003882","In-Store",1,"WARE-UHY1004",4,"15/05/19","19/08/19",96,10/09/19,22,"16/09/19",6,"USD",4,31,222,36,4,0.4,"3,498.41","5,929.50"
"SO - 0001250","Distributor",3,"WARE-UHY1004",4,"19/07/18","15/10/18",88,"26/10/18",11,"29/10/18",3,"USD",24,27,229,33,1,0.05,"1,175.45","1,728.60"
"SO - 0003656","In-Store",1,"WARE-NBV1002",2,"15/05/19","23/07/19",69,12/08/19,20,"15/08/19",3,"USD",4,43,74,9,4,0.05,825.71,"1,045.20"
"SO - 0006770","In-Store",1,"WARE-NBV1002",2,10/03/20,"28/07/20",140,10/08/20,13,"13/08/20",3,"USD",2,1,61,40,4,0.15,"1,411.96","1,721.90"
"SO - 0001214","Online",2,"WARE-PUJ1005",5,"19/07/18",09/10/18,82,11/10/18,2,"19/10/18",8,"USD",20,24,275,24,3,0.1,"2,999.72","3,845.80"
"SO - 0005266","In-Store",1,"WARE-NBV1002",2,01/12/19,03/02/20,64,"24/02/20",21,"27/02/20",3,"USD",1,31,73,21,6,0.15,"1,651.15","2,706.80"
"SO - 0002468","Wholesale",4,"WARE-UHY1004",4,"27/10/18",01/03/19,125,"15/03/19",14,"23/03/19",8,"USD",27,4,250,16,4,0.1,"1,358.76","2,613.00"
"SO - 0003862","In-Store",1,"WARE-NBV1002",2,"15/05/19","16/08/19",93,05/09/19,20,10/09/19,5,"USD",3,41,85,17,6,0.05,"2,977.75","3,631.40"
"SO - 0004564","Online",2,"WARE-NMK1003",3,"15/05/19","15/11/19",184,"21/11/19",6,"29/11/19",8,"USD",18,43,188,30,6,0.05,563.81,"1,105.50"
"SO - 0006366","In-Store",1,"WARE-NMK1003",3,10/03/20,11/06/20,93,08/07/20,27,"18/07/20",10,"USD",8,36,160,33,5,0.05,533.05,"1,045.20"
"SO - 0005280","In-Store",1,"WARE-MKL1006",6,"23/08/19",06/02/20,167,"29/02/20",23,03/03/20,3,"USD",8,26,362,14,4,0.1,"1,551.32","3,041.80"
"SO - 000872","In-Store",1,"WARE-PUJ1005",5,10/04/18,"27/08/18",139,07/09/18,11,10/09/18,3,"USD",11,9,269,34,8,0.15,965.47,"1,755.40"
"SO - 0007689","In-Store",1,"WARE-NMK1003",3,"18/06/20","13/11/20",148,10/12/20,27,"15/12/20",5,"USD",3,35,189,9,3,0.2,"1,191.53","2,291.40"
"SO - 000268","In-Store",1,"WARE-NMK1003",3,10/04/18,"19/06/18",70,"14/07/18",25,"17/07/18",3,"USD",3,15,178,2,5,0.08,719.85,"1,058.60"
"SO - 0006478","Distributor",3,"WARE-NMK1003",3,10/03/20,"26/06/20",108,01/07/20,5,11/07/20,10,"USD",25,47,155,32,4,0.4,479.39,"1,065.30"
"SO - 0004773","Distributor",3,"WARE-XYS1001",1,"23/08/19",08/12/19,107,"19/12/19",11,"25/12/19",6,"USD",23,34,19,46,2,0.15,115.78,241.2
"SO - 0001469","Distributor",3,"WARE-NMK1003",3,"19/07/18",10/11/18,114,"15/11/18",5,"23/11/18",8,"USD",21,39,106,24,4,0.05,781.29,"1,132.30"
"SO - 0003319","Online",2,"WARE-NMK1003",3,04/02/19,11/06/19,127,03/07/19,22,04/07/19,1,"USD",20,28,93,37,2,0.05,"1,890.74","2,224.40"
"SO - 0003946","In-Store",1,"WARE-PUJ1005",5,"15/05/19","27/08/19",104,08/09/19,12,"13/09/19",5,"USD",6,42,283,40,5,0.1,659.28,824.1
"SO - 0005191","Wholesale",4,"WARE-PUJ1005",5,"23/08/19","24/01/20",154,07/02/20,14,11/02/20,4,"USD",26,10,267,11,1,0.15,"1,458.05","2,351.70"
"SO - 0002147","In-Store",1,"WARE-PUJ1005",5,"27/10/18","21/01/19",86,08/02/19,18,"14/02/19",6,"USD",1,43,280,46,6,0.1,"2,918.65","6,344.90"
"SO - 0004347","In-Store",1,"WARE-NMK1003",3,"15/05/19","18/10/19",156,05/11/19,18,12/11/19,7,"USD",8,14,183,11,8,0.3,"3,541.42","5,621.30"
"SO - 0005062","In-Store",1,"WARE-NMK1003",3,"23/08/19",11/01/20,141,"22/01/20",11,"30/01/20",8,"USD",11,23,172,46,6,0.15,598.44,"1,031.80"
"SO - 0007111","In-Store",1,"WARE-NMK1003",3,"18/06/20",07/09/20,81,04/10/20,27,06/10/20,2,"USD",3,31,168,21,6,0.08,"1,828.03","2,405.30"
"SO - 0002289","Online",2,"WARE-UHY1004",4,"27/10/18",08/02/19,104,08/03/19,28,10/03/19,2,"USD",18,35,206,41,7,0.3,906.51,"1,105.50"
"SO - 0005755","Online",2,"WARE-PUJ1005",5,01/12/19,01/04/20,122,06/04/20,5,11/04/20,5,"USD",13,5,271,27,8,0.4,958.77,"1,775.50"
"SO - 0001054","Wholesale",4,"WARE-PUJ1005",5,"19/07/18","19/09/18",62,"29/09/18",10,09/10/18,10,"USD",27,49,281,41,3,0.05,786.31,"1,092.10"
"SO - 0001355","Online",2,"WARE-MKL1006",6,"19/07/18","29/10/18",102,"26/11/18",28,"30/11/18",4,"USD",20,44,359,15,6,0.15,83.08,207.7
"SO - 0002166","Online",2,"WARE-PUJ1005",5,"27/10/18","24/01/19",89,02/02/19,9,11/02/19,9,"USD",13,16,286,17,8,0.08,759.78,"1,809.00"
"SO - 0003165","In-Store",1,"WARE-NBV1002",2,04/02/19,"25/05/19",110,11/06/19,17,"17/06/19",6,"USD",2,2,79,21,5,0.15,"1,437.15","1,842.50"
"SO - 0007768","Wholesale",4,"WARE-MKL1006",6,"26/09/20","21/11/20",56,10/12/20,19,"20/12/20",10,"USD",26,32,346,4,2,0.2,"2,764.15","3,839.10"
"SO - 000731","In-Store",1,"WARE-PUJ1005",5,10/04/18,12/08/18,124,07/09/18,26,"14/09/18",7,"USD",5,26,284,35,6,0.15,171.52,268
"SO - 0001554","In-Store",1,"WARE-NMK1003",3,"19/07/18","20/11/18",124,"16/12/18",26,"19/12/18",3,"USD",9,2,183,45,7,0.05,859.68,"1,829.10"
"SO - 0002323","Distributor",3,"WARE-NMK1003",3,"27/10/18",12/02/19,108,"15/02/19",3,"16/02/19",1,"USD",24,13,134,7,5,0.05,"1,256.92","1,795.60"
"SO - 0005468","In-Store",1,"WARE-PUJ1005",5,01/12/19,"25/02/20",86,09/03/20,13,12/03/20,3,"USD",5,47,290,5,5,0.05,458.75,"1,118.90"
"SO - 0002413","Distributor",3,"WARE-UHY1004",4,"27/10/18","22/02/19",118,"18/03/19",24,"26/03/19",8,"USD",22,47,242,20,6,0.08,716.1,"1,118.90"
"SO - 0006622","In-Store",1,"WARE-NMK1003",3,10/03/20,12/07/20,124,"26/07/20",14,"27/07/20",1,"USD",2,28,103,46,4,0.08,"2,630.55","3,926.20"
"SO - 0006820","In-Store",1,"WARE-XYS1001",1,"18/06/20",04/08/20,47,"24/08/20",20,03/09/20,10,"USD",5,20,3,40,3,0.08,514.02,917.9
"SO - 0007848","Distributor",3,"WARE-UHY1004",4,"18/06/20","30/11/20",165,"25/12/20",25,"30/12/20",5,"USD",20,2,221,41,5,0.15,99.7,207.7
"SO - 0002983","In-Store",1,"WARE-PUJ1005",5,04/02/19,04/05/19,89,"16/05/19",12,"26/05/19",10,"USD",7,50,291,32,3,0.1,"1,264.96","1,976.50"
"SO - 0007904","Online",2,"WARE-PUJ1005",5,"26/09/20",08/12/20,73,"15/12/20",7,"19/12/20",4,"USD",15,38,299,16,3,0.05,"2,613.40","3,959.70"
"SO - 0007926","Distributor",3,"WARE-NMK1003",3,"26/09/20",10/12/20,75,"18/12/20",8,"28/12/20",10,"USD",21,14,139,23,6,0.15,846.08,"1,098.80"
"SO - 0002564","Online",2,"WARE-XYS1001",1,"27/10/18","16/03/19",140,01/04/19,16,03/04/19,2,"USD",12,43,2,28,6,0.15,728.49,877.7
"SO - 0002757","Online",2,"WARE-NMK1003",3,"27/10/18",09/04/19,164,"25/04/19",16,"28/04/19",3,"USD",16,21,200,29,5,0.08,"1,276.35","2,552.70"
"SO - 0002928","In-Store",1,"WARE-UHY1004",4,"27/10/18","28/04/19",183,07/05/19,9,11/05/19,4,"USD",5,24,248,39,5,0.1,768.83,"1,025.10"
"SO - 0001499","In-Store",1,"WARE-NBV1002",2,"19/07/18","14/11/18",118,11/12/18,27,"13/12/18",2,"USD",5,37,76,6,2,0.1,668.93,"1,045.20"
"SO - 0003066","Distributor",3,"WARE-XYS1001",1,04/02/19,"13/05/19",98,"26/05/19",13,05/06/19,10,"USD",24,38,14,28,4,0.4,"2,393.24","5,983.10"
"SO - 0004473","Wholesale",4,"WARE-XYS1001",1,"23/08/19",03/11/19,72,05/11/19,2,09/11/19,4,"USD",26,5,13,21,4,0.05,756.3,"1,112.20"
"SO - 0004486","Online",2,"WARE-NMK1003",3,"23/08/19",04/11/19,73,"18/11/19",14,"28/11/19",10,"USD",13,45,112,44,3,0.05,816.6,"1,855.90"
"SO - 0002961","In-Store",1,"WARE-PUJ1005",5,04/02/19,02/05/19,87,"23/05/19",21,"31/05/19",8,"USD",3,11,271,35,3,0.05,"2,295.42","3,825.70"
"SO - 0004409","Online",2,"WARE-NMK1003",3,"23/08/19","26/10/19",64,06/11/19,11,09/11/19,3,"USD",14,37,185,47,3,0.08,653.92,817.4
"SO - 0007298","Online",2,"WARE-UHY1004",4,"18/06/20","29/09/20",103,06/10/20,7,"16/10/20",10,"USD",14,25,229,36,5,0.08,375.87,737
"SO - 000961","In-Store",1,"WARE-NMK1003",3,"19/07/18",09/09/18,52,"15/09/18",6,"20/09/18",5,"USD",5,48,140,18,4,0.08,"1,651.95","2,465.60"
"SO - 0002362","In-Store",1,"WARE-NMK1003",3,"27/10/18","17/02/19",113,08/03/19,19,12/03/19,4,"USD",10,25,106,41,2,0.1,686.08,857.6
"SO - 0004093","In-Store",1,"WARE-PUJ1005",5,"15/05/19","15/09/19",123,07/10/19,22,09/10/19,2,"USD",3,20,273,14,1,0.05,431.48,"1,078.70"
"SO - 0004386","In-Store",1,"WARE-XYS1001",1,"15/05/19","23/10/19",161,"28/10/19",5,05/11/19,8,"USD",5,39,1,33,5,0.08,"2,746.06","3,390.20"
"SO - 0005363","Online",2,"WARE-XYS1001",1,01/12/19,"15/02/20",76,"25/02/20",10,01/03/20,5,"USD",13,10,25,23,3,0.08,"4,356.14","5,514.10"
"SO - 0006372","Online",2,"WARE-UHY1004",4,10/03/20,12/06/20,94,07/07/20,25,"14/07/20",7,"USD",16,31,253,38,1,0.15,145.39,207.7
"SO - 0002608","Online",2,"WARE-UHY1004",4,"27/10/18","22/03/19",146,"27/03/19",5,06/04/19,10,"USD",18,14,232,10,2,0.08,924.6,"2,010.00"
"SO - 000657","Online",2,"WARE-XYS1001",1,10/04/18,04/08/18,116,"16/08/18",12,"26/08/18",10,"USD",16,18,4,34,4,0.15,"1,052.84","1,949.70"
"SO - 0001140","Distributor",3,"WARE-MKL1006",6,10/04/18,"29/09/18",172,06/10/18,7,"14/10/18",8,"USD",23,12,358,45,3,0.1,106.26,174.2
"SO - 0006463","In-Store",1,"WARE-NMK1003",3,10/03/20,"23/06/20",105,"13/07/20",20,"17/07/20",4,"USD",3,31,202,14,1,0.1,797.3,"1,139.00"
"SO - 0004729","Online",2,"WARE-NBV1002",2,"23/08/19",02/12/19,101,"25/12/19",23,01/01/20,7,"USD",15,30,87,44,4,0.4,"2,181.12","5,319.80"
"SO - 000324","Wholesale",4,"WARE-PUJ1005",5,10/04/18,"27/06/18",78,"13/07/18",16,"14/07/18",1,"USD",26,10,322,35,7,0.1,"2,080.89","3,926.20"
"SO - 0001014","Distributor",3,"WARE-NMK1003",3,10/04/18,"14/09/18",157,09/10/18,25,"19/10/18",10,"USD",23,32,146,30,7,0.2,768.49,"1,038.50"
"SO - 000653","In-Store",1,"WARE-UHY1004",4,10/04/18,04/08/18,116,11/08/18,7,"20/08/18",9,"USD",7,45,240,41,5,0.1,"2,972.66","5,038.40"
"SO - 0001802","In-Store",1,"WARE-XYS1001",1,"19/07/18","20/12/18",154,04/01/19,15,10/01/19,6,"USD",5,9,2,13,1,0.2,561.06,"1,058.60"
"SO - 0004458","Online",2,"WARE-PUJ1005",5,"23/08/19",01/11/19,70,"25/11/19",24,"30/11/19",5,"USD",18,15,321,5,8,0.1,97.28,221.1
"SO - 0007764","Distributor",3,"WARE-NMK1003",3,"18/06/20","21/11/20",156,"28/11/20",7,06/12/20,8,"USD",24,2,165,38,2,0.05,"2,505.26","3,296.40"
"SO - 0004279","In-Store",1,"WARE-NMK1003",3,"15/05/19",08/10/19,146,11/10/19,3,"15/10/19",4,"USD",10,20,148,18,5,0.3,"2,711.09","5,648.10"
"SO - 0007512","Wholesale",4,"WARE-MKL1006",6,"18/06/20","24/10/20",128,"30/10/20",6,06/11/20,7,"USD",27,20,353,3,1,0.1,727.29,"1,118.90"
"SO - 0008066","Wholesale",4,"WARE-XYS1001",1,"26/09/20","28/12/20",93,11/01/21,14,"14/01/21",3,"USD",28,6,46,4,3,0.05,"2,224.40","2,680.00"
"SO - 0002595","Distributor",3,"WARE-PUJ1005",5,"27/10/18","20/03/19",144,04/04/19,15,09/04/19,5,"USD",24,44,308,44,8,0.1,"2,860.77","3,865.90"
"SO - 0003350","Online",2,"WARE-NMK1003",3,04/02/19,"14/06/19",130,02/07/19,18,04/07/19,2,"USD",16,22,144,34,8,0.1,399.59,951.4
"SO - 0004862","In-Store",1,"WARE-XYS1001",1,"23/08/19","19/12/19",118,01/01/20,13,02/01/20,1,"USD",7,34,42,38,4,0.05,"4,272.19","5,621.30"
"SO - 0007828","Distributor",3,"WARE-XYS1001",1,"26/09/20","29/11/20",64,"19/12/20",20,"27/12/20",8,"USD",22,3,11,11,5,0.15,"3,119.92","3,999.90"
